MERY.PA_prix;LI.PA_prix;COV.PA_prix;NK.PA_prix;BNP.PA_prix;ACA.PA_prix;CS.PA_prix;EN.PA_prix;DG.PA_prix;AI.PA_prix;SAN.PA_prix;ORA.PA_prix;ITP.PA_prix;RCO.PA_prix;ERA.PA_prix;BN.PA_prix;TTE.PA_prix;RUI.PA_prix;ABCA.PA_prix;ALTA.PA_prix;VCT.PA_prix;ICAD.PA_prix
31.4;50.422886;158.977676;66.957695;86;29.225111;31.266487;53.049999;53.650002;45.314495;67.800003;21.309999;7.090742;52;126.5;54.823734;52.099998;14.502453;4.09;204.502396;83.400002;105
31.700001;50.097576;158.977676;67.373009;86.599998;29.429482;32.243565;54.200001;53.450001;45.263149;66.800003;21.389999;7.020338;52.650002;126.400002;55.814526;52.5;14.490738;4.08;205.48558;84.900002;105
31.549999;51.073502;159.96022;68.988113;87;29.429482;32.243565;54.849998;54.099998;45.442863;66.550003;21.48;7.030395;53.150002;128.199997;56.710953;53.25;14.502453;4.08;203.519211;85.5;105.900002
32.150002;51.724121;159.174179;67.326859;83.699997;28.656425;32.243565;54.950001;54.099998;45.365845;66.849998;21.4;7.01028;54.400002;128.100006;59.305882;53.299999;14.455595;4.09;203.519211;85;107
30.02;52.049431;157.798599;65.527168;83.199997;28.58534;32.243565;54.200001;53.75;44.775345;66.550003;21.549999;7.012291;53.900002;129;58.36227;53.349998;14.455595;4.09;203.519211;85;109
30.690001;53.025356;;65.564087;83;28.763054;32.243565;54.41;53.75;45.026947;66.510002;21.49;7.040453;54.009998;129;59.400242;53.59;14.50011;4.18;201.552841;85.010002;109
30.879999;51.398811;151.313721;64.788834;82.800003;28.52314;32.243565;54.299999;54.095001;44.590492;66.669998;21.450001;7.030395;54.099998;129;59.211517;52.779999;14.584454;4.21;202.044434;85.300003;109
31.190001;51.398811;151.972046;64.050499;82.199997;28.354311;32.243565;54.040001;53.77;45.532722;66.760002;21.15;7.000222;54.23;129.179993;58.881256;52.450001;14.528225;4.24;202.536026;84.800003;109
31.75;51.398811;151.215469;63.865917;81.699997;28.105511;33.220642;53.48;54.5;45.817703;66.559998;21.07;6.978095;53.849998;132;59.305882;52.490002;14.525882;4.28;203.519211;85;110
31.700001;50.422886;149.250351;63.73671;82.300003;28.061083;33.220642;54.630001;54.130001;45.881889;66.620003;21.450001;6.903667;53.689999;131.160004;58.928436;52.869999;14.546968;4.24;203.519211;85;112
31.5;50.422886;144.583221;64.788834;82.300003;28.221025;33.220642;55.689999;55.275002;46.562248;66.699997;21.32;6.833263;53.68;130.520004;59.117157;53.66;14.385309;4.18;202.536026;85;119
30.469999;47.820412;134.020721;62.887627;80.400002;27.314684;32.243565;52.779999;53.200001;45.622581;65.650002;20.879999;6.760847;51.400002;129;56.899673;52.400002;14.174449;4.04;202.536026;85;119
31.18;48.471031;136.486954;62.223125;78.900002;26.799311;31.266487;52.700001;52.334999;44.485229;64.260002;20.530001;6.607968;50.110001;129;56.475052;51.02;13.823016;4.03;202.536026;85.199997;120
31.450001;46.844486;135.553513;61.835499;78.400002;26.59494;30.28941;51.970001;51.334999;43.314495;63.619999;20.16;6.575783;49.799999;128.5;55.908886;50.25;13.565299;4.02;203.519211;85;121
31.5;47.495106;135.720551;61.69706;77.300003;26.426111;30.28941;51.970001;50.845001;44.012829;64.089996;19.870001;6.497332;51.639999;130.380005;55.814526;49.900002;13.35444;3.98;202.536026;85;120.989998
31.620001;46.519176;133.136429;62.970688;77.400002;26.221741;30.28941;51.439999;50.709999;43.555832;63.869999;19.709999;6.191576;50;129;55.012455;49.290001;13.424726;3.84;202.536026;85.099998;119
30.4;46.519176;134.61026;62.601521;78.199997;26.808197;30.28941;51.41;52.490002;44.374828;64.410004;19.76;6.487275;50.099998;129.5;56.003246;49.419998;13.75273;3.97;206.468765;85.5;121
30;47.495106;136.575378;63.552128;78.400002;26.497196;30.28941;51.860001;52.599998;45.001274;64.599998;19.58;6.531529;49.900002;135.199997;56.380688;49.900002;13.799588;3.98;207.45195;86;117
30.190001;48.145721;143.355011;64.558105;80.199997;26.870398;31.266487;52.599998;53.139999;45.165588;65.25;19.75;6.577795;50.150002;135.009995;56.569412;50.349998;14.043248;4.11;206.468765;86;118
30.01;48.796341;142.470718;63.607502;80.400002;26.941483;31.266487;53.099998;53.224998;45.170723;65.5;19.83;6.517448;49.669998;135.399994;56.805313;50.529999;13.919075;4.15;202.536026;86;120.5
29.75;47.820412;140.652985;62.767647;79.5;26.861511;31.266487;53.07;52.724998;44.839527;64.849998;19.639999;6.517448;49.419998;136;56.286327;50.029999;13.963589;4.68;206.468765;86;122
29.450001;46.519176;136.133224;61.604771;78.099998;26.372797;30.28941;53;52.5;44.313213;64.199997;19.530001;6.648199;49.580002;143.440002;55.625801;49.689999;14.008104;4.55;207.45195;85.5;123
28.25;43.916706;132.645157;60.368057;75.400002;25.270967;29.312332;51.189999;51.825001;43.915264;62.84;18.940001;6.63613;48.439999;138.899994;54.870914;48.59;13.883931;4.71;202.536026;85.25;122.849998
28.52;45.217941;136.575378;61.475559;76.599998;25.937397;29.312332;52.139999;53.689999;44.829258;63.540001;19.24;6.859413;49.700001;141;55.767342;49.32;13.799588;4.7;202.536026;85.800003;123.599998
28.309999;41.314236;131.279388;61.780125;76.199997;25.608625;29.312332;53.099998;53.645;44.272133;63.25;19.389999;6.966026;49.599998;140;55.578621;49.099998;13.823016;4.79;196.636917;85.099998;122.5
28.5;43.916706;134.61026;63.302937;78;26.168427;30.28941;53.740002;54.945;45.096268;63.740002;19.559999;7.102811;50.93;148.149994;56.191967;49.790001;14.022162;5.15;196.636917;85.099998;122.5
28.540001;45.217941;134.462875;63.25679;78.400002;26.186197;30.28941;54.68;57.895;45.28112;64.440002;19.690001;7.181262;50.950001;147.009995;56.522232;49.849998;13.97999;5.11;199.094879;85.5;122
28.870001;45.543251;137.06665;63.589043;77.800003;26.026255;30.28941;54.299999;57.244999;45.111671;64.540001;19.719999;7.291898;51.880001;144.850006;56.191967;49.880001;14.72737;5.29;198.603287;85.099998;120
29.26;46.193871;137.78392;64.216629;80;26.648254;31.266487;55.889999;57.735001;46.084713;65.339996;20.17;7.442765;51.799999;144.75;57.51302;51;14.877314;5.53;199.586472;85.300003;121
